g	r	i	z	side
0.005033409688621759	0.007992480881512165	0.00669811712577939	0.00940751377493143	0
0.003153452416881919	0.003032113891094923	0.0036431285552680492	0.009295345284044743	0
0.004520345013588667	0.00950146745890379	0.004126384388655424	0.009737622924149036	0
0.006495476700365543	0.009229637682437897	0.007933618500828743	0.013550877571105957	0
0.00911064725369215	0.019006581977009773	0.015373971313238144	0.01583748497068882	0
0.01528646145015955	0.025478992611169815	0.018678881227970123	0.025132518261671066	0
0.01817247085273266	0.030558979138731956	0.026546046137809753	0.03383636847138405	0
0.020836085081100464	0.03564750775694847	0.03245816379785538	0.035875435918569565	0
0.024070095270872116	0.043155137449502945	0.03581167384982109	0.04176437109708786	0
0.026019588112831116	0.053345102816820145	0.04077815264463425	0.04550347104668617	0
0.03063610941171646	0.05595014989376068	0.04675557464361191	0.04684876650571823	0
0.031875938177108765	0.060533978044986725	0.043576259166002274	0.056982118636369705	0
0.03352054953575134	0.06677744537591934	0.0506606251001358	0.05794805288314819	0
0.03189631551504135	0.06320452690124512	0.04764058440923691	0.056305352598428726	0
0.0321313701570034	0.06654134392738342	0.04934389516711235	0.05728081986308098	0
0.030915897339582443	0.05990692600607872	0.04804746434092522	0.056982118636369705	0
0.028707588091492653	0.06094048544764519	0.04459194839000702	0.05369562283158302	0
0.026588380336761475	0.055795032531023026	0.04614017903804779	0.04951568692922592	0
0.026579149067401886	0.05203058570623398	0.03733864799141884	0.050572678446769714	0
0.02231493964791298	0.0453513041138649	0.03667250648140907	0.04114454984664917	0
0.02233181893825531	0.04305354878306389	0.035040512681007385	0.04012257978320122	0
0.01939670741558075	0.03981370851397514	0.027943728491663933	0.037333324551582336	0
0.015015408396720886	0.03455414995551109	0.025532515719532967	0.034259408712387085	0
0.016714924946427345	0.03592704236507416	0.02322501502931118	0.03067352995276451	0
0.01431101281195879	0.02699926868081093	0.022929208353161812	0.030934441834688187	0
0.010728506371378899	0.02704080566763878	0.021653972566127777	0.02637006714940071	0
0.01290666963905096	0.015036629512906075	0.017825305461883545	0.02347530983388424	0
0.011212510988116264	0.02201654575765133	0.021579207852482796	0.02549133263528347	0
0.01069689728319645	0.021260596811771393	0.016828753054142	0.019938169047236443	0
0.009523121640086174	0.019216138869524002	0.01865864358842373	0.020246192812919617	0
0.010734835639595985	0.025303039699792862	0.01797495409846306	0.023348920047283173	0
0.009762025438249111	0.021451976150274277	0.018709257245063782	0.021261755377054214	0
0.00966992974281311	0.02266392856836319	0.016072086989879608	0.023983588442206383	0
0.00888835545629263	0.017679044976830482	0.013227397575974464	0.0209884624928236	0
0.00626878347247839	0.017944740131497383	0.018942734226584435	0.02015659213066101	0
0.009395187720656395	0.02051316387951374	0.014891939237713814	0.024732721969485283	0
0.012372778728604317	0.021273350343108177	0.01671161688864231	0.019592443481087685	0
0.011925059370696545	0.022781120613217354	0.02063731476664543	0.02492688037455082	0
0.016507716849446297	0.02912016399204731	0.020135898143053055	0.027632998302578926	0
0.01548741851001978	0.025181490927934647	0.020260827615857124	0.023412073031067848	0
0.01429704949259758	0.027054639533162117	0.02290736697614193	0.022617066279053688	0
0.015501799993216991	0.023792074993252754	0.021164529025554657	0.025502240285277367	0
0.01357828639447689	0.024643825367093086	0.02227722853422165	0.028795192018151283	0
0.01399821974337101	0.02542479895055294	0.02222321555018425	0.020525896921753883	0
0.012538785114884377	0.02266392856836319	0.018719393759965897	0.021556761115789413	0
0.012712227180600166	0.022689973935484886	0.01773572899401188	0.019307618960738182	0
0.012260324321687222	0.02293768897652626	0.018830962479114532	0.017364295199513435	0
0.010836188681423664	0.016037678346037865	0.01510875765234232	0.015938496217131615	1
0.007339486852288246	0.017666984349489212	0.01195369940251112	0.015910932794213295	1
0.005853037815541029	0.007525729946792126	0.006816099863499403	0.012837491929531097	1